file,width_px,height_px,transparent,type,source_box,note
00_original/ruangsinyal_sky_blue_home_original.png,941,1672,no,original,,Desain sumber utuh 941 × 1672 px.
01_logo/logo_card_crop.png,436,126,no,crop,"47,122,483,248",Logo lengkap berikut kartu putihnya.
01_logo/logo_full_transparent.png,382,94,yes,logo,"68,137,451,231",Logo lengkap tanpa kartu/latar.
01_logo/logo_symbol_transparent.png,99,89,yes,logo,"70,137,169,226",Simbol batang sinyal RuangSinyal.
01_logo/logo_wordmark_tagline_transparent.png,262,82,yes,logo,"174,142,449,228",Tulisan RuangSinyal dan tagline.
02_header/header_section_full.png,941,765,no,crop,"0,68,941,833",Bagian hero/header lengkap.
02_header/header_copy_raw.png,628,284,no,crop,"50,321,678,605",Blok teks hero dengan latar biru.
02_header/tower_signal_city_crop.png,255,569,no,crop,"685,175,940,744","Ilustrasi menara, sinyal, dan kota; crop dengan latar biru."
02_header/header_overline_white_transparent.png,323,30,yes,text,"51,324,382,361",Teks “SATU MENU DIGITAL” transparan.
02_header/header_headline_white_transparent.png,613,119,yes,text,"50,377,666,500",Headline utama transparan.
02_header/header_description_white_transparent.png,637,72,yes,text,"52,527,690,605",Deskripsi layanan transparan.
02_header/cta_text_white_transparent.png,290,48,yes,text,"102,681,400,742",Teks tombol “Mulai Sekarang” transparan.
02_header/cta_button_transparent.png,450,114,yes,component,"50,650,500,764",Tombol CTA lengkap tanpa latar.
02_header/cta_arrow_white_transparent.png,21,34,yes,icon,"396,674,460,742",Ikon panah putih pada tombol CTA.
03_promo/promo_card_full.png,867,206,no,crop,"31,799,898,1005",Kartu promo lengkap.
03_promo/promo_flash_icon_transparent.png,125,109,yes,icon,"61,844,186,963",Ikon petir biru transparan.
03_promo/promo_text_transparent.png,499,118,yes,text,"201,838,705,970",Teks kartu promo tanpa latar.
03_promo/promo_arrow_button_transparent.png,123,130,yes,component,"748,838,871,968",Tombol panah cyan dengan latar luar transparan.
03_promo/promo_arrow_icon_transparent.png,28,46,yes,icon,"777,866,840,938",Ikon chevron biru tua.
